original_id,original_type,normalized_id,normalized_type,PubMedID
qualitative study,preferred_label,qualitative study,preferred_label,39467871
interviews,preferred_label,interviews,preferred_label,39467871
topic guide,preferred_label,topic guide,preferred_label,39467871
thematic analysis,preferred_label,thematic analysis,preferred_label,39467871
supporting network,preferred_label,supporting network,preferred_label,39467871
counseling,preferred_label,counseling,preferred_label,39467871
excessive dna damage,preferred_label,excessive dna damage,preferred_label,39465258
pcd,preferred_label,pcd,preferred_label,39465258
panoptosis,preferred_label,panoptosis,preferred_label,39465258
pyroptosis,preferred_label,pyroptosis,preferred_label,39465258
apoptosis,preferred_label,apoptosis,preferred_label,39465258
necroptosis,preferred_label,necroptosis,preferred_label,39465258
zbp1,preferred_label,zbp1,preferred_label,39465258
endogenous retroviruses,preferred_label,endogenous retroviruses,preferred_label,39465258
ervs,preferred_label,ervs,preferred_label,39465258
chemotherapeutic drugs,preferred_label,chemotherapeutic drugs,preferred_label,39465258
tumor tissue,preferred_label,tumor tissue,preferred_label,39465258
colorectal cancer patients,preferred_label,colorectal cancer patients,preferred_label,39465258
dsrna,preferred_label,dsrna,preferred_label,39465258
chemotherapy,preferred_label,chemotherapy,preferred_label,39465258
normal tissues,preferred_label,normal tissues,preferred_label,39465258
tumor immunotherapy,preferred_label,tumor immunotherapy,preferred_label,39456702
cancer treatment,preferred_label,cancer treatment,preferred_label,39456702
immune cells,preferred_label,immune cells,preferred_label,39456702
tumor microenvironment,preferred_label,tumor microenvironment,preferred_label,39456702
effector immune cells,preferred_label,effector immune cells,preferred_label,39456702
toxic side effects,preferred_label,toxic side effects,preferred_label,39456702
inflammatory factor storm,preferred_label,inflammatory factor storm,preferred_label,39456702
immune related adverse events (IRAEs),preferred_label,immune related adverse events (IRAEs),preferred_label,39456702
intestinal epithelial barrier permeability,preferred_label,intestinal epithelial barrier permeability,preferred_label,39456702
inflammatory bowel disease (IBD),preferred_label,inflammatory bowel disease (IBD),preferred_label,39456702
TNF,preferred_label,TNF,preferred_label,39456702
IFN,preferred_label,IFN,preferred_label,39456702
combo immune checkpoint inhibitors induced colitis,preferred_label,combo immune checkpoint inhibitors induced colitis,preferred_label,39456702
epithelial cells,preferred_label,epithelial cells,preferred_label,39456702
breast cancer,class_id,breast cancer,class_id,39453820
chemotherapy,class_id,chemotherapy,class_id,39453820
surgical intervention,class_id,surgical intervention,class_id,39453820
radiation therapy,class_id,radiation therapy,class_id,39453820
hormone therapy,class_id,hormone therapy,class_id,39453820
biological therapy,class_id,biological therapy,class_id,39453820
plants,class_id,plants,class_id,39453820
anticancer drugs,class_id,anticancer drugs,class_id,39453820
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39450164
immune related adverse events,preferred_label,immune related adverse events,preferred_label,39450164
endocrine toxicities,preferred_label,endocrine toxicities,preferred_label,39450164
diabetes mellitus,preferred_label,diabetes mellitus,preferred_label,39450164
thyroid dysfunction,preferred_label,thyroid dysfunction,preferred_label,39450164
diabetic ketoacidosis,preferred_label,diabetic ketoacidosis,preferred_label,39450164
hypothyroidism,preferred_label,hypothyroidism,preferred_label,39450164
cervical carcinoma,preferred_label,cervical carcinoma,preferred_label,39450164
insulin treatment,preferred_label,insulin treatment,preferred_label,39450164
chemotherapy,preferred_label,chemotherapy,preferred_label,39450164
spartalizumab,preferred_label,spartalizumab,preferred_label,39448966
platinum doublet chemotherapy,semantic_types,platinum doublet chemotherapy,semantic_types,39448966
canakinumab,preferred_label,canakinumab,preferred_label,39448966
non small cell lung cancer,semantic_types,non small cell lung cancer,semantic_types,39448966
gemcitabine,preferred_label,gemcitabine,preferred_label,39448966
cisplatin,preferred_label,cisplatin,preferred_label,39448966
pemetrexed,preferred_label,pemetrexed,preferred_label,39448966
paclitaxel,preferred_label,paclitaxel,preferred_label,39448966
carboplatin,preferred_label,carboplatin,preferred_label,39448966
neutropenic colitis,semantic_types,neutropenic colitis,semantic_types,39448966
posterior reversible encephalopathy syndrome,semantic_types,posterior reversible encephalopathy syndrome,semantic_types,39448966
hyponatremia,semantic_types,hyponatremia,semantic_types,39448966
clinicaltrials.gov,source,clinicaltrials.gov,source,39448966
triple negative breast carcinoma,class_id,triple negative breast carcinoma,class_id,39446014
chemotherapy,preferred_label,chemotherapy,preferred_label,39446014
monoclonal antibody drug conjugate sacituzumab govitecan,preferred_label,monoclonal antibody drug conjugate sacituzumab govitecan,preferred_label,39446014
elderly patient,preferred_label,elderly patient,preferred_label,39446014
triple negative breast carcinoma,class_id,triple negative breast carcinoma,class_id,39446012
sacituzumab govitecan,class_id,sacituzumab govitecan,class_id,39446012
elderly patients,class_id,elderly patients,class_id,39446012
metastatic breast cancer,class_id,metastatic breast cancer,class_id,39446012
luminal b,class_id,luminal b,class_id,39446012
hormonal,class_id,hormonal,class_id,39446012
chemotherapeutic treatment,class_id,chemotherapeutic treatment,class_id,39446012
diarrhea,class_id,diarrhea,class_id,39446012
quality of life,class_id,quality of life,class_id,39446012
inflammatory factors,semantic_types,inflammatory factors,semantic_types,39445010
coronavirus disease 19,semantic_types,coronavirus disease 19,semantic_types,39445010
covid 19,semantic_types,covid 19,semantic_types,39445010
acute respiratory syndrome coronavirus 2,semantic_types,acute respiratory syndrome coronavirus 2,semantic_types,39445010
sars cov 2,semantic_types,sars cov 2,semantic_types,39445010
imatinib,preferred_label,imatinib,preferred_label,39445010
norimatinib,preferred_label,norimatinib,preferred_label,39445010
gastrointestinal stromal tumor,semantic_types,gastrointestinal stromal tumor,semantic_types,39445010
tdm,preferred_label,tdm,preferred_label,39445010
pharmacogenetic,preferred_label,pharmacogenetic,preferred_label,39445010
polymorphisms,semantic_types,polymorphisms,semantic_types,39445010
genes,semantic_types,genes,semantic_types,39445010
cyp3a4,preferred_label,cyp3a4,preferred_label,39445010
cyp3a5,preferred_label,cyp3a5,preferred_label,39445010
abcg2,preferred_label,abcg2,preferred_label,39445010
sars cov 2 infection,semantic_types,sars cov 2 infection,semantic_types,39445010
side effects,semantic_types,side effects,semantic_types,39445010
acute myeloid leukemia,class_id,acute myeloid leukemia,class_id,39443599
stem cell,class_id,stem cell,class_id,39443599
hematopoietic system,class_id,hematopoietic system,class_id,39443599
chemotherapy,class_id,chemotherapy,class_id,39443599
cytarabine,class_id,cytarabine,class_id,39443599
daunorubicin,class_id,daunorubicin,class_id,39443599
therapy protocol,class_id,therapy protocol,class_id,39443599
blood cells,class_id,blood cells,class_id,39443599
adverse effects,class_id,adverse effects,class_id,39443599
stem cell niches,class_id,stem cell niches,class_id,39443599
mathematical model,class_id,mathematical model,class_id,39443599
clinical trial data,class_id,clinical trial data,class_id,39443599
cd34 cd38 aldh cells,class_id,cd34 cd38 aldh cells,class_id,39443599
complete remission,class_id,complete remission,class_id,39443599
g csf priming,class_id,g csf priming,class_id,39443599
salvage therapy,class_id,salvage therapy,class_id,39443599
minimal residual disease markers,class_id,minimal residual disease markers,class_id,39443599
immune check inhibitors,class_id,immune check inhibitors,class_id,39443053
biologic therapy,class_id,biologic therapy,class_id,39443053
cancer cells,class_id,cancer cells,class_id,39443053
toxicities,class_id,toxicities,class_id,39443053
immune related adverse events,class_id,immune related adverse events,class_id,39443053
endocrinopathies,class_id,endocrinopathies,class_id,39443053
organ system,class_id,organ system,class_id,39443053
preoperative assessment,class_id,preoperative assessment,class_id,39443053
liver cancer,disease,liver cancer,disease,39435040
low intensity ultrasound,treatment,low intensity ultrasound,treatment,39435040
nanomedicine delivery systems,drug delivery system,nanomedicine delivery systems,drug delivery system,39435040
folic acid modified nanoparticles,drug delivery system,folic acid modified nanoparticles,drug delivery system,39435040
fluorescent dye dir,chemical compound,fluorescent dye dir,chemical compound,39435040
liquid fluorocarbon pfp,chemical compound,liquid fluorocarbon pfp,chemical compound,39435040
crebanine polyethylene glycol polylactic acid copolymer nanoparticles,drug delivery system,crebanine polyethylene glycol polylactic acid copolymer nanoparticles,drug delivery system,39435040
H22 cells of mouse hepatoma,cell line,H22 cells of mouse hepatoma,cell line,39435040
small animal in vivo imaging system,imaging system,small animal in vivo imaging system,imaging system,39435040
hepatocellular carcinoma transplantation model,animal model,hepatocellular carcinoma transplantation model,animal model,39435040
liver,organ,liver,organ,39435040
kidney,organ,kidney,organ,39435040
sj gren s syndrome,preferred_label,sj gren s syndrome,preferred_label,39434886
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39434886
autoimmune disease,semantic_types,autoimmune disease,semantic_types,39434886
breast cancer metastasis,preferred_label,breast cancer metastasis,preferred_label,39434886
atezolizumab,preferred_label,atezolizumab,preferred_label,39434886
nab paclitaxel,preferred_label,nab paclitaxel,preferred_label,39434886
prednisone,preferred_label,prednisone,preferred_label,39434886
pilocarpine,preferred_label,pilocarpine,preferred_label,39434886
hydroxychloroquine,preferred_label,hydroxychloroquine,preferred_label,39434886
neoadjuvant chemotherapy,preferred_label,neoadjuvant chemotherapy,preferred_label,39434886
surgery,preferred_label,surgery,preferred_label,39434886
radiotherapy,preferred_label,radiotherapy,preferred_label,39434886
lung nodules,preferred_label,lung nodules,preferred_label,39434886
lymph node involvement,preferred_label,lymph node involvement,preferred_label,39434886
multidisciplinary collaboration,preferred_label,multidisciplinary collaboration,preferred_label,39434886
cancer control,preferred_label,cancer control,preferred_label,39434886
patient quality of life,preferred_label,patient quality of life,preferred_label,39434886
rheumatological iraes,preferred_label,rheumatological iraes,preferred_label,39434886
cancer immunotherapy,preferred_label,cancer immunotherapy,preferred_label,39434886
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39433998
chemotherapy,preferred_label,chemotherapy,preferred_label,39433998
endometrial cancer,preferred_label,endometrial cancer,preferred_label,39433998
network meta analysis,preferred_label,network meta analysis,preferred_label,39433998
patients,preferred_label,patients,preferred_label,39433998
phase i trials,class_id,phase i trials,class_id,39432880
oncology drug combinations,class_id,oncology drug combinations,class_id,39432880
toxicity adaptive lists design,class_id,toxicity adaptive lists design,class_id,39432880
tale,preferred_label,tale,preferred_label,39432880
dose escalation,class_id,dose escalation,class_id,39432880
de-escalation,synonyms,de-escalation,synonyms,39432880
dose levels,class_id,dose levels,class_id,39432880
toxicities,class_id,toxicities,class_id,39432880
maximum tolerated dose (MTD),preferred_label,maximum tolerated dose (MTD),preferred_label,39432880
bayesian optimal interval design,preferred_label,bayesian optimal interval design,preferred_label,39432880
copula,preferred_label,copula,preferred_label,39432880
product of independent beta probabilities escalation,class_id,product of independent beta probabilities escalation,class_id,39432880
continual reassessment method for partial ordering designs,class_id,continual reassessment method for partial ordering designs,class_id,39432880
overdosing patients,class_id,overdosing patients,class_id,39432880
patient safety,class_id,patient safety,class_id,39432880
r shiny application,preferred_label,r shiny application,preferred_label,39432880
r package,preferred_label,r package,preferred_label,39432880
operating characteristics,class_id,operating characteristics,class_id,39432880
risk of assigning highly toxic dose combinations,class_id,risk of assigning highly toxic dose combinations,class_id,39432880
mammary gland carcinoma,class_id,mammary gland carcinoma,class_id,39425456
hypoxia inducible factor 1alpha,preferred_label,hypoxia inducible factor 1alpha,preferred_label,39425456
fih 1,preferred_label,fih 1,preferred_label,39425456
chemical compounds,class_id,chemical compounds,class_id,39425456
bbap 8,preferred_label,bbap 8,preferred_label,39425456
mcf 7 cells,class_id,mcf 7 cells,class_id,39425456
7 12 dimethylbenz a anthracene,preferred_label,7 12 dimethylbenz a anthracene,preferred_label,39425456
Wistar rats,preferred_label,Wistar rats,preferred_label,39425456
glut 1,preferred_label,glut 1,preferred_label,39425456
vegf,preferred_label,vegf,preferred_label,39425456
twist 1,preferred_label,twist 1,preferred_label,39425456
bcl 2,preferred_label,bcl 2,preferred_label,39425456
bax,preferred_label,bax,preferred_label,39425456
caspase 8,preferred_label,caspase 8,preferred_label,39425456
caspase 3,preferred_label,caspase 3,preferred_label,39425456
pyrotinib,drug,pyrotinib,drug,39425028
metronomic oral etoposide,drug,metronomic oral etoposide,drug,39425028
her2 positive metastatic breast cancer,disease,her2 positive metastatic breast cancer,disease,39425028
trastuzumab,drug,trastuzumab,drug,39425028
nausea,adverse event,nausea,adverse event,39425028
vomiting,adverse event,vomiting,adverse event,39425028
diarrhea,adverse event,diarrhea,adverse event,39425028
anemia,adverse event,anemia,adverse event,39425028
peripheral neuropathy,adverse event,peripheral neuropathy,adverse event,39425028
cisplatin,drug,cisplatin,drug,39423903
nephrotoxicity,adverse event,nephrotoxicity,adverse event,39423903
ototoxicity,adverse event,ototoxicity,adverse event,39423903
neurotoxicity,adverse event,neurotoxicity,adverse event,39423903
myelosuppression,adverse event,myelosuppression,adverse event,39423903
oxidative stress,biological process,oxidative stress,biological process,39423903
inflammation,biological process,inflammation,biological process,39423903
dna damage,biological process,dna damage,biological process,39423903
cellular apoptosis,biological process,cellular apoptosis,biological process,39423903
kidney disease,disease,kidney disease,disease,39423903
hearing impairment,condition,hearing impairment,condition,39423903
neuropathy,condition,neuropathy,condition,39423903
impaired liver function,condition,impaired liver function,condition,39423903
comorbidities,condition,comorbidities,condition,39423903
therapeutic strategies,intervention,therapeutic strategies,intervention,39423903
patient outcomes,outcome,patient outcomes,outcome,39423903
cancer care,care setting,cancer care,care setting,39423903
Chemotherapy,may_treat,Chemotherapy,may_treat,39418176
Platinum drugs,drug associated with AE,Platinum drugs,drug associated with AE,39418176
Hollow copper sulfide nanocubes,class_id,Hollow copper sulfide nanocubes,class_id,39418176
Pt IV drugs,drug associated with AE,Pt IV drugs,drug associated with AE,39418176
Glutathione,may_prevent,Glutathione,may_prevent,39418176
Reactive oxygen species,produces,Reactive oxygen species,produces,39418176
large b cell lymphomas,class_id,large b cell lymphomas,class_id,39415456
anti cd19 chimeric antigen receptor,class_id,anti cd19 chimeric antigen receptor,class_id,39415456
Tisagenlecleucel,preferred_label,Tisagenlecleucel,preferred_label,39415456
Axicabtagene ciloleucel,preferred_label,Axicabtagene ciloleucel,preferred_label,39415456
University Hospitals Leuven,class_id,University Hospitals Leuven,class_id,39415456
cytokine release syndrome,preferred_label,cytokine release syndrome,preferred_label,39415456
immune effector cell associated neurotoxicity syndrome,preferred_label,immune effector cell associated neurotoxicity syndrome,preferred_label,39415456
cyclophosphamide,drug,cyclophosphamide,drug,39414093
arabinogalactan,polymer,arabinogalactan,polymer,39414093
aptamers,oligonucleotide ligands,aptamers,oligonucleotide ligands,39414093
erlich ascites cells,cell line,erlich ascites cells,cell line,39414093
ehrlich carcinoma,tumor model,ehrlich carcinoma,tumor model,39414093
tumor bearing mice,animal model,tumor bearing mice,animal model,39414093
cisplatin,drug,cisplatin,drug,39413735
nasopharyngeal carcinoma,disease,nasopharyngeal carcinoma,disease,39413735
gemcitabine,drug,gemcitabine,drug,39413735
toripalimab,drug,toripalimab,drug,39413735
patients,patient cohort,patients,patient cohort,39413735
adverse events,adverse event,adverse events,adverse event,39413735
headache,adverse event,headache,adverse event,39413735
nausea,adverse event,nausea,adverse event,39413735
brentuximab vedotin,drug,brentuximab vedotin,drug,39413375
classic hodgkin's lymphoma,disease,classic hodgkin's lymphoma,disease,39413375
adult patients,patient,adult patients,patient,39413375
pediatric patients,patient,pediatric patients,patient,39413375
radiation therapy,treatment,radiation therapy,treatment,39413375
nivolumab,drug,nivolumab,drug,39413375
doxorubicin,drug,doxorubicin,drug,39413375
vinblastine,drug,vinblastine,drug,39413375
dacarbazine,drug,dacarbazine,drug,39413375
Chemotherapy,may_treat,Chemotherapy,may_treat,39413318
Radiation therapy,may_treat,Radiation therapy,may_treat,39413318
Cutaneous adverse events,drug AE occurs in,Cutaneous adverse events,drug AE occurs in,39413318
Toxic erythema of chemotherapy,drug AE occurs in,Toxic erythema of chemotherapy,drug AE occurs in,39413318
Radiation-induced dermatitis,drug AE occurs in,Radiation-induced dermatitis,drug AE occurs in,39413318
Vitamin D supplementation,may_treat,Vitamin D supplementation,may_treat,39413318
Breast cancer,has disease,Breast cancer,has disease,39413318
Colorectal cancer,has disease,Colorectal cancer,has disease,39413318
Probiotics,preferred_label,Probiotics,preferred_label,39410854
Chemotherapy-induced diarrhea,preferred_label,Chemotherapy-induced diarrhea,preferred_label,39410854
Cancer patients,preferred_label,Cancer patients,preferred_label,39410854
Osmotic diarrhea,preferred_label,Osmotic diarrhea,preferred_label,39410854
Colonic crypts,preferred_label,Colonic crypts,preferred_label,39410854
Villi,preferred_label,Villi,preferred_label,39410854
Radiotherapy,preferred_label,Radiotherapy,preferred_label,39410854
Chemotherapy agents,preferred_label,Chemotherapy agents,preferred_label,39410854
Chloride absorption,preferred_label,Chloride absorption,preferred_label,39410854
Water release,preferred_label,Water release,preferred_label,39410854
Inflammatory pathways,preferred_label,Inflammatory pathways,preferred_label,39410854
Immunological responses,preferred_label,Immunological responses,preferred_label,39410854
Angiogenesis responses,preferred_label,Angiogenesis responses,preferred_label,39410854
Digestive enzymes metabolism,preferred_label,Digestive enzymes metabolism,preferred_label,39410854
Gut microbiota,preferred_label,Gut microbiota,preferred_label,39410854
Clinical research,preferred_label,Clinical research,preferred_label,39410854
Strain combinations,preferred_label,Strain combinations,preferred_label,39410854
Dosages,preferred_label,Dosages,preferred_label,39410854
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39405648
immune related adverse events,preferred_label,immune related adverse events,preferred_label,39405648
adjuvant setting,preferred_label,adjuvant setting,preferred_label,39405648
real world data,preferred_label,real world data,preferred_label,39405648
patient population,preferred_label,patient population,preferred_label,39405648
clinical trial data,preferred_label,clinical trial data,preferred_label,39405648
anti pd1 therapy,preferred_label,anti pd1 therapy,preferred_label,39405648
nivolumab,preferred_label,nivolumab,preferred_label,39405648
resected stage iii iv melanoma,preferred_label,resected stage iii iv melanoma,preferred_label,39405648
national databases,preferred_label,national databases,preferred_label,39405648
immunotox database,preferred_label,immunotox database,preferred_label,39405648
danish metastatic melanoma database,preferred_label,danish metastatic melanoma database,preferred_label,39405648
organ systems,preferred_label,organ systems,preferred_label,39405648
toxicities,preferred_label,toxicities,preferred_label,39405648
progression free survival,preferred_label,progression free survival,preferred_label,39405648
overall survival,preferred_label,overall survival,preferred_label,39405648
melanoma relapse,preferred_label,melanoma relapse,preferred_label,39405648
gender,preferred_label,gender,preferred_label,39405648
age,preferred_label,age,preferred_label,39405648
seasonal variation,preferred_label,seasonal variation,preferred_label,39405648
Cytokines,preferred_label,Cytokines,preferred_label,39403930
Immune checkpoint inhibition,preferred_label,Immune checkpoint inhibition,preferred_label,39403930
T helper cell pathways,preferred_label,T helper cell pathways,preferred_label,39403930
Solid tumors,preferred_label,Solid tumors,preferred_label,39403930
Autoimmune disorders,preferred_label,Autoimmune disorders,preferred_label,39403930
IL-5,preferred_label,IL-5,preferred_label,39403930
IL-6,preferred_label,IL-6,preferred_label,39403930
IL-17F,preferred_label,IL-17F,preferred_label,39403930
TNF,preferred_label,TNF,preferred_label,39403930
Objective response rate,preferred_label,Objective response rate,preferred_label,39403930
Cancer-specific mortality,preferred_label,Cancer-specific mortality,preferred_label,39403930
All-cause mortality,preferred_label,All-cause mortality,preferred_label,39403930
IL-6 blockade,preferred_label,IL-6 blockade,preferred_label,39403930
Neoadjuvant endocrine therapy,preferred_label,Neoadjuvant endocrine therapy,preferred_label,39384801
Breast cancer,preferred_label,Breast cancer,preferred_label,39384801
Chemotherapy,preferred_label,Chemotherapy,preferred_label,39384801
Angiogenesis,preferred_label,Angiogenesis,preferred_label,39384801
Sunitinib,preferred_label,Sunitinib,preferred_label,39384801
Exemestane,preferred_label,Exemestane,preferred_label,39384801
Postmenopausal women,preferred_label,Postmenopausal women,preferred_label,39384801
VEGFR2,preferred_label,VEGFR2,preferred_label,39384801
ESR1,preferred_label,ESR1,preferred_label,39384801
PGR,preferred_label,PGR,preferred_label,39384801
NAT1,preferred_label,NAT1,preferred_label,39384801
EGFR,preferred_label,EGFR,preferred_label,39384801
MYC,preferred_label,MYC,preferred_label,39384801
SFRP1,preferred_label,SFRP1,preferred_label,39384801
FOXC1,preferred_label,FOXC1,preferred_label,39384801
Luminal A subtype,preferred_label,Luminal A subtype,preferred_label,39384801
cancer treatment,treated with drug,cancer treatment,treated with drug,39384243
high dose chemotherapy,drug associated with AE,high dose chemotherapy,drug associated with AE,39384243
mucosal barrier,composed primarily of,mucosal barrier,composed primarily of,39384243
