source,target,original_relation,normalized_relation,PubMedID
thrombocytopenia,combination therapy,adverse event occurs in,adverse event occurs in,39472861
nausea,combination therapy,adverse event occurs in,adverse event occurs in,39472861
skin rash,combination therapy,adverse event occurs in,adverse event occurs in,39472861
bleeding,combination therapy,adverse event occurs in,adverse event occurs in,39472861
increased ALT,combination therapy,adverse event occurs in,adverse event occurs in,39472861
afatinib,non small cell lung cancer,may_treat,may_treat,39471023
epidermal growth factor receptor,egfr mutations,drug associated with AE,drug associated with AE,39471023
elderly patients,physical condition,has,has disease,39471023
elderly patients,comorbidities,has,has disease,39471023
initial dosage,dose adjustments,may_prevent,may_prevent,39471023
retrospective analysis,cancer centers,conducted in,adverse event occurs in,39471023
egfr mutations,brain metastases,associated with,drug associated with AE,39471023
afatinib,toxicities,may_cause,may_cause,39471023
Vietnam,retrospective analysis,location_of,location_of,39471023
neoadjuvant chemotherapy,ovarian cancer,may_treat,may_treat,39468597
neoadjuvant chemotherapy,nanoparticle albumin bound paclitaxel,may_treat,may_treat,39468597
neoadjuvant chemotherapy,carboplatin,may_treat,may_treat,39468597
neutropenia,unresectable ovarian cancer,adverse event occurs in,adverse event occurs in,39468597
alopecia,unresectable ovarian cancer,adverse event occurs in,adverse event occurs in,39468597
nivolumab,chemotherapy,treated with drug,treated with drug,39468513
gastric cancer,nivolumab,may_treat,may_treat,39468513
her2,gastric cancer,has disease,has disease,39468513
programmed cell death ligand 1,nivolumab,drug associated with AE,drug associated with AE,39468513
neutropenia,nivolumab,adverse event occurs in,adverse event occurs in,39468513
thrombocytopenia,nivolumab,adverse event occurs in,adverse event occurs in,39468513
diarrhea,nivolumab,adverse event occurs in,adverse event occurs in,39468513
anemia,nivolumab,adverse event occurs in,adverse event occurs in,39468513
head and neck squamous cell carcinoma,patients,has disease,has disease,39467871
patients,cisplatin based chemoradiotherapy,may_treat,may_treat,39467871
cisplatin based chemoradiotherapy,toxicities,may_cause,may_cause,39467871
patients,experiences,realized in,realized in,39467871
qualitative study,interviews,produced_by,produced_by,39467871
interviews,topic guide,may_diagnose,may_diagnose,39467871
thematic analysis,experiences,realizes,realizes,39467871
patients,supporting network,surrounded_by,surrounded_by,39467871
supporting network,counseling,may_prevent,may_prevent,39467871
excessive dna damage,pcd,triggers,triggers,39465258
pcd,panoptosis,includes,includes,39465258
panoptosis,pyroptosis,includes,includes,39465258
panoptosis,apoptosis,includes,includes,39465258
panoptosis,necroptosis,includes,includes,39465258
zbp1,panoptosis,is apical sensor of,bearer of,39465258
ervs,zbp1,act as ligands for,act as ligands for,39465258
chemotherapeutic drugs,panoptosis,contributes to toxic effects of,bearer of,39465258
zbp1,tumor tissue,is downregulated in,drug associated with AE in adolescent,39465258
dsrna,zbp1,is sensed by,is sensed by,39465258
chemotherapy,normal tissues,activates,activates,39465258
tumor immunotherapy,immune cells,targeting and inhibiting suppressive checkpoints,targeting and inhibiting suppressive checkpoints,39456702
tumor cells,immune cells,exploit the surrounding immune cells and tissues,surrounds,39456702
effector immune cells,tumor cells,compromised by inhibitory immune cells,compromised by inhibitory immune cells,39456702
immune cells,tumor cells,co-opted by tumor cells,co-opted by tumor cells,39456702
immune related adverse events (IRAEs),tumor regression,result in discontinuation of treatment or succumb to toxic side effects,adverse event occurs in,39456702
intestinal epithelial barrier permeability,inflammatory bowel disease (IBD),shown promising results in reducing severity,adverse event occurs in,39456702
intestinal epithelial barrier permeability,immune function,preserving immune function,preserving immune function,39456702
inflammatory bowel disease (IBD),TNF,reduces severity without compromising levels of,bearer of,39456702
inflammatory bowel disease (IBD),IFN,reduces severity without compromising levels of,bearer of,39456702
inflammatory bowel disease (IBD),tumor immunotherapy,maintaining efficacy of,bearer of,39456702
IBD,combo immune checkpoint inhibitors induced colitis,substantial similarities between,substantial similarities between,39456702
epithelial cells,immune related adverse events (IRAEs),targeting epithelial cells for mitigating,targeting epithelial cells for mitigating,39456702
breast cancer,chemotherapy,may_treat,may_treat,39453820
breast cancer,surgical intervention,may_treat,may_treat,39453820
breast cancer,radiation therapy,may_treat,may_treat,39453820
breast cancer,hormone therapy,may_treat,may_treat,39453820
breast cancer,biological therapy,may_treat,may_treat,39453820
plants,anticancer drugs,source,source,39453820
immune checkpoint inhibitors,immune related adverse events,adverse event occurs in,adverse event occurs in,39450164
immune related adverse events,endocrine toxicities,adverse event outcome,adverse event outcome,39450164
endocrine toxicities,diabetes mellitus,may_diagnose,may_diagnose,39450164
endocrine toxicities,thyroid dysfunction,may_diagnose,may_diagnose,39450164
diabetes mellitus,diabetic ketoacidosis,may_prevent,may_prevent,39450164
diabetes mellitus,hypothyroidism,may_prevent,may_prevent,39450164
cervical carcinoma,insulin treatment,may_treat,may_treat,39450164
insulin treatment,chemotherapy,may_prevent,may_prevent,39450164
spartalizumab,platinum doublet chemotherapy,treated with drug,treated with drug,39448966
spartalizumab,canakinumab,treated with drug,treated with drug,39448966
spartalizumab,non small cell lung cancer,may_treat,may_treat,39448966
spartalizumab,gemcitabine,treated with drug,treated with drug,39448966
spartalizumab,cisplatin,treated with drug,treated with drug,39448966
spartalizumab,pemetrexed,treated with drug,treated with drug,39448966
spartalizumab,paclitaxel,treated with drug,treated with drug,39448966
spartalizumab,carboplatin,treated with drug,treated with drug,39448966
neutropenic colitis,spartalizumab,adverse event occurs in,adverse event occurs in,39448966
posterior reversible encephalopathy syndrome,spartalizumab,adverse event occurs in,adverse event occurs in,39448966
hyponatremia,spartalizumab,adverse event occurs in,adverse event occurs in,39448966
clinicaltrials.gov,spartalizumab,source,source,39448966
triple negative breast carcinoma,chemotherapy,may_treat,may_treat,39446014
triple negative breast carcinoma,monoclonal antibody drug conjugate sacituzumab govitecan,may_treat,may_treat,39446014
monoclonal antibody drug conjugate sacituzumab govitecan,elderly patient,occurs in patient treated with drug,occurs in patient treated with drug,39446014
triple negative breast carcinoma,sacituzumab govitecan,may_treat,may_treat,39446012
sacituzumab govitecan,elderly patients,may_treat,may_treat,39446012
metastatic breast cancer,luminal b,develops_from,develops_from,39446012
hormonal,chemotherapeutic treatment,induced_by,induced_by,39446012
chemotherapeutic treatment,diarrhea,adverse event occurs in,adverse event occurs in,39446012
sacituzumab govitecan,quality of life,may_preserve,may_preserve,39446012
coronavirus disease 19,sars cov 2,induced_by,induced_by,39445010
imatinib,covid 19,treated with drug,treated with drug,39445010
norimatinib,covid 19,treated with drug,treated with drug,39445010
imatinib,gastrointestinal stromal tumor,may_treat,may_treat,39445010
imatinib,sars cov 2 infection,occurs in patient treated with drug,occurs in patient treated with drug,39445010
norimatinib,sars cov 2 infection,occurs in patient treated with drug,occurs in patient treated with drug,39445010
sars cov 2 infection,side effects,adverse event occurs in,adverse event occurs in,39445010
stem cell,acute myeloid leukemia,induced_by,induced_by,39443599
chemotherapy,stem cell,treated with drug,treated with drug,39443599
stem cell,adverse effects,adverse event occurs in,adverse event occurs in,39443599
stem cell niches,stem cell,connected to,connected to,39443599
mathematical model,stem cell niches,realized in,realized in,39443599
clinical trial data,cd34 cd38 aldh cells,has part,has part,39443599
complete remission,stem cell,protects,protects,39443599
g csf priming,treatment outcome,may_improve,may_improve,39443599
salvage therapy,minimal residual disease markers,may_be_indicated_by,may_be_indicated_by,39443599
immune check inhibitors,biologic therapy,may_treat,may_treat,39443053
immune check inhibitors,cancer cells,treated with drug,treated with drug,39443053
toxicities,immune related adverse events,drug AE occurs in,drug AE occurs in,39443053
immune related adverse events,endocrinopathies,drug associated with AE,drug associated with AE,39443053
toxicities,organ system,occurs in,occurs in,39443053
preoperative assessment,organ system,may_prevent,may_prevent,39443053
liver cancer,low intensity ultrasound,may_treat,may_treat,39435040
low intensity ultrasound,nanomedicine delivery systems,may_prevent,may_prevent,39435040
folic acid modified nanoparticles,fluorescent dye dir,has part,has part,39435040
folic acid modified nanoparticles,liquid fluorocarbon pfp,has part,has part,39435040
folic acid modified nanoparticles,liver,occurs in,occurs in,39435040
crebanine polyethylene glycol polylactic acid copolymer nanoparticles,liver,occurs in,occurs in,39435040
crebanine polyethylene glycol polylactic acid copolymer nanoparticles,H22 cells of mouse hepatoma,treated with drug,treated with drug,39435040
crebanine polyethylene glycol polylactic acid copolymer nanoparticles,liver,located_in,located_in,39435040
crebanine polyethylene glycol polylactic acid copolymer nanoparticles,kidney,located_in,located_in,39435040
sj gren s syndrome,immune checkpoint inhibitors,drug associated with AE,drug associated with AE,39434886
sj gren s syndrome,autoimmune disease,is evidence of,is evidence of,39434886
breast cancer metastasis,lung nodules,occurs in,occurs in,39434886
atezolizumab,partial response,realizes,realizes,39434886
atezolizumab,nab paclitaxel,drug associated with AE,drug associated with AE,39434886
prednisone,sj gren s syndrome,may_treat,may_treat,39434886
pilocarpine,sj gren s syndrome,may_treat,may_treat,39434886
hydroxychloroquine,sj gren s syndrome,may_treat,may_treat,39434886
neoadjuvant chemotherapy,surgery,induced_by,induced_by,39434886
surgery,radiotherapy,produces,produces,39434886
lung nodules,lymph node involvement,adjacent_to,adjacent_to,39434886
multidisciplinary collaboration,cancer control,realized in,realized in,39434886
cancer control,patient quality of life,protects,protects,39434886
rheumatological iraes,cancer immunotherapy,drug AE occurs in,drug AE occurs in,39434886
immune checkpoint inhibitors,chemotherapy,combined with,drug associated with AE,39433998
immune checkpoint inhibitors,endometrial cancer,treatment for,treatment for,39433998
network meta analysis,patients,performed on,performed on,39433998
toxicity adaptive lists design,tale,example of usage,example of usage,39432880
tale,dose escalation,governing,governing,39432880
tale,de-escalation,governing,governing,39432880
tale,dose levels,governing,governing,39432880
tale,toxicities,control,control,39432880
tale,maximum tolerated dose (MTD),identify,identify,39432880
tale,bayesian optimal interval design,comparable to,anteriorly connected to,39432880
tale,copula,comparable to,anteriorly connected to,39432880
tale,product of independent beta probabilities escalation,comparable to,anteriorly connected to,39432880
tale,continual reassessment method for partial ordering designs,comparable to,anteriorly connected to,39432880
tale,overdosing patients,reduce risk of,bearer of,39432880
tale,patient safety,maintain,maintain,39432880
tale,r shiny application,facilitate the use of,bearer of,39432880
tale,r package,facilitate the use of,bearer of,39432880
tale,operating characteristics,compute relevant,compute relevant,39432880
tale,risk of assigning highly toxic dose combinations,compute,compute,39432880
fih 1,hypoxia inducible factor 1alpha,induces,induces,39425456
chemical compounds,bbap 8,realized in,realized in,39425456
bbap 8,mammary gland carcinoma,may_treat,may_treat,39425456
bbap 8,mcf 7 cells,occurs in patient treated with drug,occurs in patient treated with drug,39425456
bbap 8,Wistar rats,occurs in patient treated with drug,occurs in patient treated with drug,39425456
bbap 8,glut 1,produces,produces,39425456
bbap 8,vegf,produces,produces,39425456
bbap 8,twist 1,produces,produces,39425456
bbap 8,bcl 2,produces,produces,39425456
bbap 8,bax,produces,produces,39425456
bbap 8,caspase 8,produces,produces,39425456
bbap 8,caspase 3,produces,produces,39425456
pyrotinib,metronomic oral etoposide,combined with,drug associated with AE,39425028
pyrotinib,her2 positive metastatic breast cancer,may_treat,may_treat,39425028
metronomic oral etoposide,her2 positive metastatic breast cancer,may_treat,may_treat,39425028
her2 positive metastatic breast cancer,trastuzumab,previously treated with,drug associated with AE in adolescent,39425028
pyrotinib,nausea,may cause,may cause,39425028
pyrotinib,vomiting,may cause,may cause,39425028
pyrotinib,diarrhea,may cause,may cause,39425028
pyrotinib,anemia,may cause,may cause,39425028
pyrotinib,peripheral neuropathy,may cause,may cause,39425028
cisplatin,nephrotoxicity,drug associated with AE,drug associated with AE,39423903
cisplatin,ototoxicity,drug associated with AE,drug associated with AE,39423903
cisplatin,neurotoxicity,drug associated with AE,drug associated with AE,39423903
cisplatin,myelosuppression,drug associated with AE,drug associated with AE,39423903
cisplatin,oxidative stress,induced_by,induced_by,39423903
cisplatin,inflammation,induced_by,induced_by,39423903
cisplatin,dna damage,induced_by,induced_by,39423903
cisplatin,cellular apoptosis,induced_by,induced_by,39423903
cisplatin,kidney disease,may_diagnose,may_diagnose,39423903
cisplatin,hearing impairment,may_diagnose,may_diagnose,39423903
cisplatin,neuropathy,may_diagnose,may_diagnose,39423903
cisplatin,impaired liver function,may_diagnose,may_diagnose,39423903
cisplatin,comorbidities,may_diagnose,may_diagnose,39423903
therapeutic strategies,cisplatin,may_prevent,may_prevent,39423903
therapeutic strategies,patient outcomes,may_improve,may_improve,39423903
therapeutic strategies,cancer care,may_enhance,may_enhance,39423903
Chemotherapy,Platinum drugs,may_treat,may_treat,39418176
Hollow copper sulfide nanocubes,Pt IV drugs,drug associated with AE,drug associated with AE,39418176
Pt IV drugs,Glutathione,may_prevent,may_prevent,39418176
Glutathione,Reactive oxygen species,produces,produces,39418176
large b cell lymphomas,anti cd19 chimeric antigen receptor,treated with drug,treated with drug,39415456
Tisagenlecleucel,University Hospitals Leuven,occurs in,occurs in,39415456
Axicabtagene ciloleucel,University Hospitals Leuven,occurs in,occurs in,39415456
cytokine release syndrome,Tisagenlecleucel,adverse event occurs in,adverse event occurs in,39415456
cytokine release syndrome,Axicabtagene ciloleucel,adverse event occurs in,adverse event occurs in,39415456
immune effector cell associated neurotoxicity syndrome,Tisagenlecleucel,adverse event occurs in,adverse event occurs in,39415456
immune effector cell associated neurotoxicity syndrome,Axicabtagene ciloleucel,adverse event occurs in,adverse event occurs in,39415456
cyclophosphamide,arabinogalactan,mechanochemical treatment,mechanochemical treatment,39414093
arabinogalactan,aptamers,modification with,drug associated with AE in adolescent,39414093
aptamers,erlich ascites cells,specifically target,specifically target,39414093
erlich ascites cells,ehrlich carcinoma,used as,used as,39414093
tumor bearing mice,cyclophosphamide,delivery of,bounding layer of,39414093
cisplatin,nasopharyngeal carcinoma,may_treat,may_treat,39413735
gemcitabine,patients,may_treat,may_treat,39413735
toripalimab,patients,may_treat,may_treat,39413735
patients,adverse events,occurs in patient treated with drug,occurs in patient treated with drug,39413735
adverse events,headache,adverse event occurs in,adverse event occurs in,39413735
adverse events,nausea,adverse event occurs in,adverse event occurs in,39413735
brentuximab vedotin,classic hodgkin's lymphoma,may_treat,may_treat,39413375
brentuximab vedotin,adult patients,occurs in patient treated with drug,occurs in patient treated with drug,39413375
brentuximab vedotin,pediatric patients,occurs in patient treated with drug,occurs in patient treated with drug,39413375
brentuximab vedotin,radiation therapy,may_prevent,may_prevent,39413375
nivolumab,classic hodgkin's lymphoma,may_treat,may_treat,39413375
nivolumab,adult patients,occurs in patient treated with drug,occurs in patient treated with drug,39413375
nivolumab,pediatric patients,occurs in patient treated with drug,occurs in patient treated with drug,39413375
doxorubicin,classic hodgkin's lymphoma,may_treat,may_treat,39413375
vinblastine,classic hodgkin's lymphoma,may_treat,may_treat,39413375
dacarbazine,classic hodgkin's lymphoma,may_treat,may_treat,39413375
Chemotherapy,Cutaneous adverse events,may_treat,may_treat,39413318
Radiation therapy,Cutaneous adverse events,may_treat,may_treat,39413318
Vitamin D supplementation,Cutaneous adverse events,may_treat,may_treat,39413318
Vitamin D supplementation,Breast cancer,may_treat,may_treat,39413318
Vitamin D supplementation,Colorectal cancer,may_treat,may_treat,39413318
Probiotics,Chemotherapy-induced diarrhea,may_prevent,may_prevent,39410854
Cancer patients,Chemotherapy-induced diarrhea,has disease,has disease,39410854
Osmotic diarrhea,Colonic crypts,induced_by,induced_by,39410854
Colonic crypts,Villi,composed primarily of,composed primarily of,39410854
Radiotherapy,Colonic crypts,induces,induces,39410854
Chemotherapy agents,Colonic crypts,induces,induces,39410854
Chloride absorption,Water release,is evidence of,is evidence of,39410854
Inflammatory pathways,Probiotics,may_treat,may_treat,39410854
Immunological responses,Probiotics,may_treat,may_treat,39410854
Angiogenesis responses,Probiotics,may_treat,may_treat,39410854
Digestive enzymes metabolism,Probiotics,may_treat,may_treat,39410854
Gut microbiota,Probiotics,may_treat,may_treat,39410854
Clinical research,Strain combinations,has part,has part,39410854
Clinical research,Dosages,has part,has part,39410854
immune checkpoint inhibitors,immune related adverse events,drug associated with AE,drug associated with AE,39405648
adjuvant setting,real world data,is evidence of,is evidence of,39405648
real world data,patient population,source,source,39405648
anti pd1 therapy,nivolumab,drug associated with AE,drug associated with AE,39405648
resected stage iii iv melanoma,nivolumab,may_treat,may_treat,39405648
national databases,immunotox database,connected to,connected to,39405648
national databases,danish metastatic melanoma database,connected to,connected to,39405648
organ systems,toxicities,has part,has part,39405648
progression free survival,overall survival,realizes,realizes,39405648
immune related adverse events,melanoma relapse,protects,protects,39405648
gender,age,adjacent_to,adjacent_to,39405648
gender,seasonal variation,adjacent_to,adjacent_to,39405648
age,seasonal variation,adjacent_to,adjacent_to,39405648
Cytokines,Solid tumors,may_treat,may_treat,39403930
T helper cell pathways,Solid tumors,may_treat,may_treat,39403930
T helper cell pathways,Immune checkpoint inhibition,may_prevent,may_prevent,39403930
Autoimmune disorders,Autoimmune disorders,induced_by,induced_by,39403930
IL-5,Autoimmune disorders,drug associated with AE,drug associated with AE,39403930
IL-6,Objective response rate,is evidence of,is evidence of,39403930
IL-6,Cancer-specific mortality,is evidence of,is evidence of,39403930
IL-6,All-cause mortality,is evidence of,is evidence of,39403930
IL-6 blockade,Solid tumors,may_prevent,may_prevent,39403930
Neoadjuvant endocrine therapy,Breast cancer,treated with drug,treated with drug,39384801
Chemotherapy,Breast cancer,treated with drug,treated with drug,39384801
Angiogenesis,Sunitinib,induces,induces,39384801
Sunitinib,Exemestane,may_treat,may_treat,39384801
Postmenopausal women,Breast cancer,may_diagnose,may_diagnose,39384801
VEGFR2,Sunitinib,drug associated with AE,drug associated with AE,39384801
ESR1,Exemestane,produces,produces,39384801
PGR,Exemestane,produces,produces,39384801
NAT1,Exemestane,produces,produces,39384801
EGFR,Sunitinib,drug associated with AE,drug associated with AE,39384801
MYC,Sunitinib,drug associated with AE,drug associated with AE,39384801
SFRP1,Sunitinib,drug associated with AE,drug associated with AE,39384801
FOXC1,Sunitinib,drug associated with AE,drug associated with AE,39384801
Luminal A subtype,Breast cancer,may_diagnose,may_diagnose,39384801
cancer treatment,high dose chemotherapy,treated with drug,treated with drug,39384243
high dose chemotherapy,mucosal barrier,induced_by,induced_by,39384243
mucosal barrier,gastrointestinal tract,location_of,location_of,39384243
high dose chemotherapy,toxicity,induces,induces,39384243
toxicity,mucositis,adverse event occurs in,adverse event occurs in,39384243
GLP-1,gastrointestinal tract,may_prevent,may_prevent,39384243
GLP-1,inflammation,may_prevent,may_prevent,39384243
HSCT,toxicities,occurs in,occurs in,39384243
semaglutide,mucositis,may_prevent,may_prevent,39384243
neoadjuvant,immune checkpoint inhibitors,treated with drug,treated with drug,39382658
neoadjuvant,chemotherapy,treated with drug,treated with drug,39382658
neoadjuvant,resectable non small cell lung cancer,may_treat,may_treat,39382658
adjuvant,immune checkpoint inhibitors,treated with drug,treated with drug,39382658
adjuvant,chemotherapy,treated with drug,treated with drug,39382658
systematic review,PubMed,source,source,39382658
Bayesian network meta-analysis,PubMed,source,source,39382658
event-free survival,neoadjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
event-free survival,adjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
overall survival,neoadjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
overall survival,adjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
treatment-related adverse events,neoadjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
treatment-related adverse events,adjuvant,occurs in patient treated with drug,occurs in patient treated with drug,39382658
PD-L1,event-free survival,may_diagnose,may_diagnose,39382658
COVID-19,PD-1 PD-L1 inhibitor therapy,may impact,may impact,39377592
PD-1 PD-L1 inhibitor therapy,cancer patients,treated with drug,treated with drug,39377592
immune related adverse events (irAEs),cancer patients,adverse event occurs in,adverse event occurs in,39377592
axitinib,vascular endothelial growth factor receptors,treated with drug,treated with drug,39377544
axitinib,renal cell carcinoma,may_treat,may_treat,39377544
axitinib,glioblastoma,may_treat,may_treat,39377544
axitinib,glioma stem cells,may_treat,may_treat,39377544
axitinib,n acetyl l cysteine,drug associated with AE,drug associated with AE,39377544
cannabis extract,nanoemulsion,enhances delivery of,bearer of,39375818
nanoemulsion,9-tetrahydrocannabinol (THC),contains,contains,39375818
nanoemulsion,cannabidiol (CBD),contains,contains,39375818
nanoemulsion,animal model,tested in,adverse event occurs in,39375818
nanoemulsion,glioblastoma,tested in,adverse event occurs in,39375818
nanoemulsion,rats,tested in,adverse event occurs in,39375818
nanoemulsion,hemocompatibility factors,studied for toxicity using,studied for toxicity using,39375818
nanoemulsion,cytotoxicity,studied for,studied for,39375818
nanoemulsion,MRI,evaluated using,evaluated using,39375818
nanoemulsion,tumor volume,reduced compared to control,connected to,39375818
nanoemulsion,survival time,increased compared to control,connected to,39375818
nanoemulsion,adverse effects,no important effects observed,no important effects observed,39375818
anlotinib,docetaxel,combined with,drug associated with AE,39375657
anlotinib,epirubicin,combined with,drug associated with AE,39375657
anlotinib,cyclophosphamide,combined with,drug associated with AE,39375657
neoadjuvant chemotherapy regimen,locally advanced tnbc,for,for,39375657
patients,systemic treatment,received no prior,received no prior,39375657
patients,surgery,scheduled to undergo,connected to,39375657
therapeutic regimen,adverse events,assessed for,assessed for,39375657
therapeutic regimen,antitumor activity,demonstrated,demonstrated,39375657
adverse events,neutropenia,observed with,drug associated with AE,39375657
adverse events,palmar plantar erythrodysesthesia syndrome,observed with,drug associated with AE,39375657
metastatic pancreatic ductal adenocarcinoma,pharmacological ascorbate,may_treat,may_treat,39369582
pharmacological ascorbate,gemcitabine,induced_by,induced_by,39369582
pharmacological ascorbate,nab paclitaxel,induced_by,induced_by,39369582
gemcitabine,nab paclitaxel,adjacent_to,adjacent_to,39369582
gemcitabine,nab paclitaxel,may_treat,may_treat,39369582
pharmacological ascorbate,overall survival,realizes,realizes,39369582
pharmacological ascorbate,progression free survival,realizes,realizes,39369582
pharmacological ascorbate,adverse event incidence,realizes,realizes,39369582
pharmacological ascorbate,quality of life,realizes,realizes,39369582
pharmacological ascorbate,patient reported outcomes,realizes,realizes,39369582
immune checkpoint inhibitors,immune related adverse events,drug associated with AE,drug associated with AE,39368044
older adults,frailty,may have,may have,39368044
older adults,immune ageing,may affect,may affect,39368044
immune related adverse events,corticosteroids,managed by,managed by,39368044
immune ageing,biomarkers,may predict,may predict,39368044
clinical trials,older adults,enroll,enroll,39368044
real world data,geriatric oncology population,analyzed for,analyzed for,39368044
anaplastic meningiomas,who grade 3 tumors,classified as,classified as,39358739
anaplastic meningiomas,rare and highly aggressive,characterized as,characterized as,39358739
anaplastic meningiomas,recurrent anaplastic meningioma,associated with,drug associated with AE,39358739
surgery,radiation,combined with,drug associated with AE,39358739
local control,progression-free survival,correlates with,drug associated with AE,39358739
bevacizumab,progression-free survival,improves,improves,39358739
bevacizumab,radiation necrosis,reduces risk of,bearer of,39358739
cdkn2a homozygote deletion,risk of local failure,correlates with,drug associated with AE,39358739
symptomatic radiation necrosis,cases,occurred in,adverse event occurs in,39358739
re-irradiation,recurrent anaplastic meningioma,used for,used for,39358739
re-irradiation,radiation necrosis,associated with risk of,bearer of,39358739
re-irradiation,toxicity,reduces,produces,39358739
individualized treatment approaches,further research,emphasizes need for,emphasizes need for,39358739
management strategies,challenging disease,refines,refines,39358739
advanced intrahepatic cholangiocarcinoma,lenvatinib plus toripalimab,treated with drug,treated with drug,39358645
lenvatinib plus toripalimab,pd 1 antibody,drug associated with AE,drug associated with AE,39358645
lenvatinib plus toripalimab,chemo free therapy,may_treat,may_treat,39358645
overall survival,advanced intrahepatic cholangiocarcinoma,occurs in patient having disease,occurs in patient having disease,39358645
progression free survival,advanced intrahepatic cholangiocarcinoma,occurs in patient having disease,occurs in patient having disease,39358645
objective response rate,advanced intrahepatic cholangiocarcinoma,occurs in patient having disease,occurs in patient having disease,39358645
